IdProducto,NombreProducto,Fecha de Compra,Precio,Año,Mes,DiaSemana
9,Computer,9/1/2017,8847,2017,9,Viernes
17,Salad,10/7/2017,853,2017,10,Sabado
10,Fish,9/24/2018,587,2018,9,Lunes
14,Mouse,5/15/2018,679,2018,5,Martes
7,Chicken,2/28/2018,887,2018,2,Miercoles
24,Tuna,1/14/2018,467,2018,1,Domingo
8,Chips,3/16/2018,442,2018,3,Viernes
14,Mouse,3/23/2018,679,2018,3,Viernes
13,Keyboard,11/16/2018,920,2018,11,Viernes
18,Sausages,1/11/2019,347,2019,1,Viernes
23,Towels,10/5/2018,98,2018,10,Viernes
23,Towels,7/19/2017,98,2017,7,Miercoles
23,Towels,12/5/2017,98,2017,12,Martes
16,Pizza,8/21/2017,964,2017,8,Lunes
1,Bacon,11/25/2018,193,2018,11,Domingo
13,Keyboard,10/12/2017,920,2017,10,Jueves
24,Tuna,11/28/2017,467,2017,11,Martes
8,Chips,4/29/2018,442,2018,4,Domingo
15,Pants,3/8/2017,678,2017,3,Miercoles
22,Table,3/12/2017,430,2017,3,Domingo
16,Pizza,6/13/2017,964,2017,6,Martes
3,Bike,8/10/2017,742,2017,8,Jueves
5,Chair,7/22/2017,529,2017,7,Sabado
13,Keyboard,2/27/2017,920,2017,2,Lunes
11,Gloves,7/23/2018,413,2018,7,Lunes
5,Chair,5/10/2018,529,2018,5,Jueves
3,Bike,4/21/2017,742,2017,4,Viernes
16,Pizza,3/29/2018,964,2018,3,Jueves
23,Towels,10/15/2018,98,2018,10,Lunes
17,Salad,1/10/2018,853,2018,1,Miercoles
13,Keyboard,11/7/2018,920,2018,11,Miercoles
8,Chips,1/21/2018,442,2018,1,Domingo
15,Pants,9/1/2017,678,2017,9,Viernes
12,Hat,9/13/2017,766,2017,9,Miercoles
11,Gloves,3/27/2018,413,2018,3,Martes
16,Pizza,1/1/2018,964,2018,1,Lunes
9,Computer,2/16/2018,8847,2018,2,Viernes
12,Hat,4/21/2018,766,2018,4,Sabado
24,Tuna,5/14/2017,467,2017,5,Domingo
10,Fish,9/21/2017,587,2017,9,Jueves
20,Shoes,2/5/2018,824,2018,2,Lunes
2,Ball,10/15/2017,778,2017,10,Domingo
19,Shirt,1/26/2018,698,2018,1,Viernes
21,Soap,3/24/2017,334,2017,3,Viernes
10,Fish,7/4/2018,587,2018,7,Miercoles
20,Shoes,4/5/2017,824,2017,4,Miercoles
23,Towels,3/23/2017,98,2017,3,Jueves
7,Chicken,11/2/2017,887,2017,11,Jueves
5,Chair,7/22/2018,529,2018,7,Domingo
3,Bike,9/8/2018,742,2018,9,Sabado
5,Chair,2/15/2019,529,2019,2,Viernes
14,Mouse,7/18/2018,679,2018,7,Miercoles
4,Car,2/21/2019,50,2019,2,Jueves
10,Fish,3/23/2018,587,2018,3,Viernes
20,Shoes,12/24/2018,824,2018,12,Lunes
24,Tuna,12/21/2018,467,2018,12,Viernes
5,Chair,1/6/2019,529,2019,1,Domingo
21,Soap,1/18/2018,334,2018,1,Jueves
10,Fish,1/26/2019,587,2019,1,Sabado
13,Keyboard,2/8/2018,920,2018,2,Jueves
20,Shoes,3/27/2018,824,2018,3,Martes
23,Towels,6/25/2018,98,2018,6,Lunes
18,Sausages,3/28/2017,347,2017,3,Martes
20,Shoes,8/18/2018,824,2018,8,Sabado
18,Sausages,4/12/2018,347,2018,4,Jueves
2,Ball,7/11/2017,778,2017,7,Martes
21,Soap,2/28/2018,334,2018,2,Miercoles
3,Bike,11/11/2018,742,2018,11,Domingo
15,Pants,10/20/2018,678,2018,10,Sabado
16,Pizza,5/22/2018,964,2018,5,Martes
